#[Manufacturer],[Hostname],[Delta t],[Date],[Mode],[File Version],"Rules:
Choose closest ms value to stapwatch time
If tie choose bigger value
if more than 10ms away dont fill in the value",
Thorlabs,PM5020_5E,10 ms,2026-07-30 22:56:56,CW,1,,
,,,,,,,
#[Ch],[Name],[Serial],[Type],[Wavelength],[Range],[Attenuation],[Unit]
0,S425C-L,1932731,Thermopile,1064 nm,auto,0 dB,W
1,S120VC,230131112,Photodiode,1064 nm,auto,0 dB,W
,,,,,,,
#[ms],[Ch: 1],[Ch: 2],#[meter],,,,
8640420,1.09E+00,4.88E-04,0.3,,,,
8647290,1.09E+00,4.86E-04,0.299,,,,
8651250,1.09E+00,4.86E-04,0.298,,,,
8656750,1.09E+00,4.88E-04,0.297,,,,
8663460,1.09E+00,4.85E-04,0.296,,,,
8666860,1.09E+00,4.87E-04,0.295,,,,
8669930,1.09E+00,4.85E-04,0.294,,,,
8672740,1.09E+00,4.86E-04,0.293,,,,
8679090,1.09E+00,4.83E-04,0.292,,,,
8685239,1.09E+00,4.82E-04,0.291,,,,
8688439,1.09E+00,4.83E-04,0.29,,,,
8697380,1.09E+00,4.80E-04,0.289,,,,
8700340,1.09E+00,4.78E-04,0.288,,,,
8702970,1.09E+00,4.78E-04,0.287,,,,
8706330,1.09E+00,4.78E-04,0.286,,,,
8709620,1.09E+00,4.78E-04,0.285,,,,
8713120,1.09E+00,4.77E-04,0.284,,,,
8715930,1.09E+00,4.79E-04,0.283,,,,
8718660,1.09E+00,4.76E-04,0.282,,,,
8725010,1.09E+00,4.74E-04,0.281,,,,
8727370,1.09E+00,4.73E-04,0.28,,,,
8731689,1.09E+00,4.72E-04,0.279,,,,
8735200,1.09E+00,4.72E-04,0.278,,,,
8738019,1.09E+00,4.69E-04,0.277,,,,
8742490,1.09E+00,4.70E-04,0.276,,,,
8745690,1.09E+00,4.72E-04,0.275,,,,
8750050,1.09E+00,4.69E-04,0.274,,,,
8755850,1.09E+00,4.71E-04,0.273,,,,
8761510,1.09E+00,4.65E-04,0.272,,,,
8766760,1.09E+00,4.65E-04,0.271,,,,
8772060,1.09E+00,4.66E-04,0.27,,,,
8811850,1.09E+00,4.62E-04,0.269,,,,
8816260,1.09E+00,4.62E-04,0.268,,,,
8820990,1.09E+00,4.63E-04,0.267,,,,
8825400,1.09E+00,4.63E-04,0.266,,,,
8830680,1.09E+00,4.60E-04,0.265,,,,
8836210,1.09E+00,4.59E-04,0.264,,,,
8839940,1.09E+00,4.58E-04,0.263,,,,
8844149,1.09E+00,4.57E-04,0.262,,,,
8847800,1.09E+00,4.56E-04,0.261,,,,
8852979,1.09E+00,4.55E-04,0.26,,,,
9341430,1.08E+00,4.50E-04,0.259,,,,
9344390,1.08E+00,4.50E-04,0.258,,,,
9349450,1.09E+00,4.50E-04,0.257,,,,
9352430,1.09E+00,4.51E-04,0.256,,,,
9355590,1.09E+00,4.50E-04,0.255,,,,
9358600,1.09E+00,4.50E-04,0.254,,,,
