#[Manufacturer]; [Hostname]; [Delta t]; [Date]; [Mode]; [File Version]
Thorlabs; PM5020_5E; 10 ms; 2026-07-15T05:11:36; CW; 1

#[Ch];[Name];[Serial];[Type];[Wavelength];[Range];[Attenuation];[Unit]
0; S425C-L; 1932731; Thermopile;1064 nm; manual; 0 dB; W
1; S120VC; 230131112; Photodiode;1064 nm; auto; 0 dB; W

#[ms]; [Ch: 1]; [Ch: 2]
      1970; 1.071768E+00 ; 6.740657E-05 
      1980; 1.073026E+00 ; 6.775938E-05 
      1990; 1.071790E+00 ; 6.674313E-05 
      2000; 1.072318E+00 ; 6.562719E-05 
      2010; 1.072883E+00 ; 6.605204E-05 
      2020; 1.071731E+00 ; 6.760786E-05 
      2030; 1.071796E+00 ; 6.793212E-05 
      2040; 1.073111E+00 ; 6.669973E-05 
      2050; 1.073695E+00 ; 6.552088E-05 
      2070; 1.074238E+00 ; 6.748326E-05 
      2080; 1.072937E+00 ; 6.783733E-05 
      2090; 1.074899E+00 ; 6.663759E-05 
      2100; 1.073451E+00 ; 6.568086E-05 
      2110; 1.074798E+00 ; 6.610093E-05 
      2120; 1.073997E+00 ; 6.740521E-05 
      2130; 1.074459E+00 ; 6.787724E-05 
      2140; 1.075403E+00 ; 6.668118E-05 
      2150; 1.075108E+00 ; 6.556776E-05 
      2160; 1.076377E+00 ; 6.615073E-05 
      2170; 1.074866E+00 ; 6.751636E-05 
      2180; 1.075862E+00 ; 6.777318E-05 
      2190; 1.074967E+00 ; 6.668103E-05 
      2200; 1.076507E+00 ; 6.563553E-05 
      2210; 1.074766E+00 ; 6.611324E-05 
      2220; 1.076592E+00 ; 6.747103E-05 
      2230; 1.075661E+00 ; 6.781357E-05 
      2240; 1.075397E+00 ; 6.666805E-05 
      2250; 1.076860E+00 ; 6.565167E-05 
      2270; 1.075573E+00 ; 6.743436E-05 
      2280; 1.077245E+00 ; 6.780917E-05 
      2290; 1.076281E+00 ; 6.672080E-05 
      2300; 1.075700E+00 ; 6.564680E-05 
      2310; 1.077344E+00 ; 6.611992E-05 
      2320; 1.077347E+00 ; 6.740817E-05 
      2330; 1.075835E+00 ; 6.789195E-05 
      2340; 1.077465E+00 ; 6.656859E-05 
      2350; 1.076776E+00 ; 6.560524E-05 
      2360; 1.075684E+00 ; 6.627249E-05 
      2370; 1.077604E+00 ; 6.749349E-05 
      2380; 1.076562E+00 ; 6.785434E-05 
      2390; 1.076104E+00 ; 6.662409E-05 
      2400; 1.077397E+00 ; 6.566576E-05 
      2410; 1.076410E+00 ; 6.624487E-05 
      2420; 1.075794E+00 ; 6.755181E-05 
      2430; 1.076539E+00 ; 6.793660E-05 
      2440; 1.075916E+00 ; 6.656938E-05 
      2450; 1.075158E+00 ; 6.569282E-05 
      2460; 1.075952E+00 ; 6.631085E-05 
      2470; 1.074657E+00 ; 6.760121E-05 
      2480; 1.075912E+00 ; 6.786188E-05 
      2490; 1.075425E+00 ; 6.660844E-05 
      2500; 1.074834E+00 ; 6.577992E-05 
      2510; 1.076177E+00 ; 6.632786E-05 
      2520; 1.075963E+00 ; 6.751421E-05 
      2530; 1.074493E+00 ; 6.795007E-05 
      2540; 1.076372E+00 ; 6.651233E-05 
      2550; 1.075504E+00 ; 6.550851E-05 
      2560; 1.074249E+00 ; 6.628470E-05 
      2570; 1.076050E+00 ; 6.751359E-05 
      2580; 1.074069E+00 ; 6.776198E-05 
      2590; 1.076100E+00 ; 6.640283E-05 
      2600; 1.074646E+00 ; 6.543160E-05 
      2610; 1.075055E+00 ; 6.615158E-05 
      2620; 1.075069E+00 ; 6.734144E-05 
      2630; 1.075706E+00 ; 6.760536E-05 
      2640; 1.075092E+00 ; 6.628258E-05 
      2650; 1.074463E+00 ; 6.524385E-05 
      2660; 1.076138E+00 ; 6.604361E-05 
      2670; 1.075839E+00 ; 6.724978E-05 
      2680; 1.074055E+00 ; 6.747964E-05 
      2690; 1.076241E+00 ; 6.619676E-05 
      2700; 1.074098E+00 ; 6.524842E-05 
      2720; 1.075605E+00 ; 6.709890E-05 
